defect_class,pattern_type,pattern_specific_name,visual_cue,solder_paste_t3,solder_paste_t4,solder_paste_t5,solder_paste_t6,silver_epoxy,uv_glue,silicone_gel,notes
under_dispense,dot,undersized_dot,Dot diameter/height below spec,MED,MED,HIGH,HIGH,HIGH,MED,MED,Classic clog / low pressure / short shot. T5-T6 and filled epoxy are highest clog risk.
under_dispense,line,thin_or_broken_line,Line width below spec or skipped gaps,MED,MED,HIGH,HIGH,HIGH,MED,MED,Broken line is the line-form of under-dispense; not a missing dot.
under_dispense,dam_fill,low_dam_or_incomplete_fill,Dam wall too low or fill does not reach opposite edge,LOW,MED,MED,MED,MED,MED,HIGH,Incomplete fill is the dam-and-fill form. Silicone/UV flow-limited more than powder-clog limited.
over_dispense,dot,oversized_dot,Dot larger/taller than spec,MED,MED,MED,LOW,MED,HIGH,HIGH,UV/silicone flow more; T6 paste is thixotropic and less likely to dump extra volume unless pressure/time is wrong.
over_dispense,line,thick_line,Line wider than spec,MED,MED,MED,LOW,MED,HIGH,HIGH,Can precede bridging on fine pitch.
over_dispense,dam_fill,overflow_fill,Fill spills over dam or dam wall overbuilt,LOW,LOW,MED,LOW,MED,HIGH,HIGH,Overflow contaminates nearby pads. Very common with low-viscosity UV/silicone.
missing,dot,missing_dot,Pad/site has no deposit,MED,MED,HIGH,HIGH,HIGH,MED,LOW,Full clog; missed trigger; empty syringe; air tunnel. T6 + fine nozzle is the textbook cell.
missing,line,missing_segment,Gap in an otherwise continuous line,MED,MED,HIGH,HIGH,HIGH,MED,MED,Rename: not missing_dot. Same physics as skip/clog mid-path.
missing,dam_fill,missing_dam_or_fill,Dam wall absent or fill never started,LOW,MED,MED,MED,MED,MED,MED,Usually a program/path error or total clog before the feature.
inconsistent_volume,dot,inconsistent_dots,Neighboring dots vary in size,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Core brief example. Occasional → air; continuous → clog/viscosity/parameters.
inconsistent_volume,line,inconsistent_width,Line width varies along path,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Same class; vision sees width jitter instead of radius jitter.
inconsistent_volume,dam_fill,inconsistent_height,Dam height or fill level varies around the cavity,MED,MED,MED,MED,MED,HIGH,HIGH,Flow/temperature drift shows up as uneven dam walls.
spreading,dot,dot_slump_bleed,Material wets beyond pad / loses height,MED,MED,LOW,LOW,MED,HIGH,HIGH,T5/T6 hold shape better (higher metal loading / finer, more thixotropic). UV/silicone spread easily.
spreading,line,line_bleed,Line widens or smears off-path,MED,MED,LOW,LOW,MED,HIGH,HIGH,Line spreading is realistic; do not call it a spreading dot.
spreading,dam_fill,dam_collapse,Dam wall slumps; fill leaks,LOW,LOW,LOW,LOW,MED,HIGH,HIGH,Signature dam-and-fill failure. Silicone gel is the highest-risk material.
air_bubble_irregular,dot,satellite_or_voided_dot,Hole in dot; extra satellite blobs; ragged outline,MED,MED,MED,HIGH,MED,HIGH,HIGH,T6 satellites from stringing + oxidation agglomerates. UV bubbles from pressure/suck-back.
air_bubble_irregular,line,voids_or_ragged_edge,Pinholes along line; scalloped edge; satellites,MED,MED,MED,HIGH,MED,HIGH,HIGH,Line form of irregular shape.
air_bubble_irregular,dam_fill,void_in_fill,Bubble trapped inside fill or broken dam surface,LOW,MED,MED,MED,MED,HIGH,HIGH,Classic voiding in dam-and-fill / underfill-like flow.
